Type,Product,Date,Description,Amount,Balance,Hide
CARD_PAYMENT,Current,2025-04-30 08:47:21,Civis Cafe Canteen,-350.0,27865.91,False
CARD_PAYMENT,Current,2025-04-30 07:54:29,1605021531 Gfa It,-500.0,27365.91,False
CARD_PAYMENT,Current,2025-04-30 13:46:05,Coop,-1237.0,26128.91,False
CARD_PAYMENT,Current,2025-04-30 15:48:36,Simple,-1297.0,24831.91,False
CARD_PAYMENT,Current,2025-05-01 12:29:37,Viger Katalin E.v.,-700.0,24131.91,False
TOPUP,Current,2025-05-01 21:55:08,Top-Up by *7109,6000.0,30131.91,False
TRANSFER,Current,2025-05-02 18:20:15,Transfer from Revolut user,5200.0,35331.91,False
CARD_PAYMENT,Current,2025-05-01 21:59:59,Steam,-6028.37,29303.54,False
CARD_PAYMENT,Current,2025-05-02 12:47:33,Sostozoo,-15600.0,13703.54,False
CARD_PAYMENT,Current,2025-04-29 17:59:24,HELL Energy,-430.0,13273.54,False
TRANSFER,Current,2025-05-03 10:27:34,Transfer from Revolut user,1266.68,14540.22,False
TRANSFER,Current,2025-05-03 10:30:05,Transfer to Revolut user,-1266.0,13274.22,False
CARD_PAYMENT,Current,2025-05-02 16:03:51,Cocacolahbcmagyaror,-700.0,12574.22,False
CARD_PAYMENT,Current,2025-05-02 16:05:10,Cocacolahbcmagyaror,-700.0,11874.22,False
CARD_PAYMENT,Current,2025-05-02 18:22:41,KFC,-6310.0,5564.22,False
TRANSFER,Current,2025-05-04 11:15:42,To HUF,20000.0,25564.22,False
CARD_PAYMENT,Current,2025-05-04 11:19:53,Apple,-4490.0,21074.22,False
EXCHANGE,Current,2025-05-05 11:41:50,Exchange to HUF,509033.83,528457.43,False
TRANSFER,Current,2025-05-05 11:42:13,Transfer to Revolut user,-305000.0,223457.43,False
TRANSFER,Current,2025-05-05 11:43:25,Zéti Polgári,-200000.0,22057.43,False
TOPUP,Current,2025-05-05 11:48:54,Top-Up by *7109,4500.0,26557.43,False
CARD_PAYMENT,Current,2025-05-04 10:55:24,Vitaminkucko,-3719.0,22838.43,False
CARD_PAYMENT,Current,2025-05-05 15:09:48,Nemzeti Dohánybolt,-688.0,22150.43,False
CARD_PAYMENT,Current,2025-05-05 16:50:01,Both-Dega Büfe,-1500.0,20650.43,False
CARD_PAYMENT,Current,2025-05-05 15:38:05,Simple,-989.0,19661.43,False
TRANSFER,Current,2025-05-07 15:12:35,Transfer to Revolut user,-12000.0,7661.43,False
CARD_PAYMENT,Current,2025-05-07 07:48:07,Civis Cafe Canteen,-1400.0,6261.43,False
